序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W)
72817,2025/2/26 19:54:23,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.5,46.7,25,-22,44.0,44.0,6.54,6.17
72818,2025/2/26 19:54:24,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.02,43.5,46.7,8,-25,44.0,44.0,6.54,6.16
72819,2025/2/26 19:54:24,5.05,5.02,53,48,1.91,1.89,3.29,3.26,9.08,9.02,43.5,46.7,100,105,44.0,43.9,6.54,6.17
72820,2025/2/26 19:54:25,5.04,5.01,53,48,1.91,1.89,3.28,3.26,9.09,9.03,43.6,46.7,-20,13,44.0,44.0,6.55,6.18
72821,2025/2/26 19:54:25,5.05,5.0,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.6,46.7,-5,13,44.0,43.9,6.56,6.15
72822,2025/2/26 19:54:26,5.05,5.01,53,48,1.91,1.9,3.28,3.25,9.09,9.03,43.5,46.7,-15,-11,44.0,43.9,6.52,6.17
72823,2025/2/26 19:54:27,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,-74,-22,43.9,43.9,6.55,6.17
72824,2025/2/26 19:54:27,5.04,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.6,46.7,23,-16,44.0,43.9,6.54,6.18
72825,2025/2/26 19:54:28,5.05,5.0,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.6,46.7,178,85,44.0,43.9,6.55,6.17
72826,2025/2/26 19:54:29,5.04,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.02,43.6,46.7,5,-19,44.0,44.0,6.56,6.18
72827,2025/2/26 19:54:29,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.08,9.02,43.6,46.7,13,13,44.0,44.0,6.56,6.18
72828,2025/2/26 19:54:30,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,6,12,44.0,44.0,6.56,6.17
72829,2025/2/26 19:54:30,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.6,46.7,-17,7,44.0,43.9,6.56,6.16
72830,2025/2/26 19:54:31,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.6,46.7,31,-7,44.0,44.0,6.56,6.16
72831,2025/2/26 19:54:32,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,41,-157,44.0,43.9,6.54,6.19
72832,2025/2/26 19:54:32,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.1,9.03,43.6,46.7,21,5,44.0,43.9,6.56,6.17
72833,2025/2/26 19:54:33,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.6,46.7,12,13,44.0,44.0,6.55,6.16
72834,2025/2/26 19:54:33,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.03,43.5,46.7,-28,-22,44.0,44.0,6.55,6.19
72835,2025/2/26 19:54:34,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,30,-13,43.9,43.9,6.54,6.17
72836,2025/2/26 19:54:35,5.04,5.0,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.6,46.7,-32,-22,44.0,44.0,6.55,6.17
72837,2025/2/26 19:54:35,5.04,5.0,53,48,1.91,1.89,3.29,3.26,9.09,9.02,43.6,46.7,33,3,44.0,43.9,6.55,6.17
72838,2025/2/26 19:54:36,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,-38,-31,43.9,43.9,6.53,6.18
72839,2025/2/26 19:54:36,5.04,5.01,53,48,1.91,1.89,3.29,3.26,9.1,9.02,43.6,46.7,-26,9,44.0,43.9,6.57,6.18
72840,2025/2/26 19:54:37,5.04,5.0,53,48,1.91,1.89,3.29,3.26,9.09,9.03,43.6,46.7,-2,3,43.9,43.9,6.54,6.16
72841,2025/2/26 19:54:38,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.6,46.7,9,13,43.9,43.9,6.55,6.17
72842,2025/2/26 19:54:38,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.03,43.5,46.7,-5,4,43.9,43.9,6.54,6.17
72843,2025/2/26 19:54:39,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.04,43.6,46.6,29,-4,43.9,43.9,6.54,6.17
72844,2025/2/26 19:54:40,5.05,5.01,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.5,46.7,19,-31,43.9,43.9,6.55,6.17
72845,2025/2/26 19:54:40,5.04,5.0,53,48,1.91,1.89,3.28,3.26,9.08,9.02,43.5,46.7,25,-17,43.9,43.9,6.55,6.18
72846,2025/2/26 19:54:41,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.02,43.5,46.7,30,-3,43.9,43.9,6.55,6.16
72847,2025/2/26 19:54:42,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.5,46.7,-13,-8,43.9,44.0,6.54,6.17
72848,2025/2/26 19:54:42,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.6,46.7,-2,2,44.0,44.0,6.53,6.17
72849,2025/2/26 19:54:43,5.04,5.0,53,48,1.91,1.89,3.29,3.26,9.08,9.02,43.6,46.7,2,-6,43.9,44.0,6.55,6.16
72850,2025/2/26 19:54:44,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.03,43.6,46.7,24,13,44.0,44.0,6.55,6.17
72851,2025/2/26 19:54:44,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.09,9.03,43.5,46.7,31,-25,43.9,44.0,6.55,6.17
72852,2025/2/26 19:54:45,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,8,3,44.0,44.0,6.54,6.17
72853,2025/2/26 19:54:45,5.04,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.03,43.6,46.7,-3,-8,44.0,44.0,6.54,6.17
72854,2025/2/26 19:54:46,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,-33,25,44.0,44.0,6.55,6.16
72855,2025/2/26 19:54:47,5.04,5.01,53,48,1.91,1.89,3.29,3.26,9.09,9.04,43.5,46.7,-4,-11,44.0,44.0,6.54,6.16
72856,2025/2/26 19:54:47,5.04,5.0,53,48,1.91,1.89,3.28,3.26,9.08,9.03,43.6,46.7,-42,-13,44.0,44.0,6.54,6.18
72857,2025/2/26 19:54:48,5.04,5.01,53,48,1.91,1.89,3.28,3.25,9.09,9.03,43.5,46.7,19,-33,44.0,44.0,6.57,6.16
72858,2025/2/26 19:54:49,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.03,43.5,46.7,53,-44,43.9,44.0,6.54,6.17
72859,2025/2/26 19:54:49,5.04,5.01,53,48,1.91,1.89,3.28,3.26,9.08,9.02,43.6,46.7,-26,0,44.0,44.0,6.55,6.17
72860,2025/2/26 19:54:50,5.05,5.01,53,48,1.91,1.88,3.29,3.26,9.09,9.03,43.5,46.7,-18,-206,43.9,44.0,6.55,6.18
72861,2025/2/26 19:54:50,5.05,5.0,53,48,1.91,1.89,3.29,3.26,9.09,9.02,43.5,46.7,76,-73,43.9,44.0,6.54,6.17
72862,2025/2/26 19:54:51,5.05,5.0,53,48,1.91,1.89,3.28,3.26,9.09,9.02,43.6,46.7,-25,-12,44.0,44.0,6.55,6.18
72863,2025/2/26 19:54:52,5.05,5.01,53,48,1.91,1.89,3.29,3.26,9.08,9.02,43.6,46.7,20,14,44.0,44.0,6.55,6.17
72864,2025/2/26 19:54:52,5.05,5.0,53,48,1.91,1.89,3.28,3.25,9.08,9.03,43.6,46.7,3,4,43.9,44.0,6.54,6.18
72865,2025/2/26 19:54:53,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,134,-142,44.0,43.9,6.57,6.18
72866,2025/2/26 19:54:53,5.04,5.01,53,48,1.91,1.89,3.28,3.26,9.09,9.03,43.6,46.7,38,125,44.0,44.0,6.55,6.18
72867,2025/2/26 19:54:54,5.05,5.0,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,30,3,43.9,44.0,6.55,6.17
72868,2025/2/26 19:54:55,5.05,5.01,53,48,1.91,1.89,3.29,3.25,9.08,9.02,43.6,46.7,18,8,44.0,43.9,6.54,6.17
